# x l forward_absolute forward_relative backward_absolute backward_relative
0.50 9 0.00000000000000000e+00 0.00000000000000000e+00 1.47681400509660499e-02 5.51258658301595414e-02
0.50 10 0.00000000000000000e+00 0.00000000000000000e+00 7.23165446774306497e-02 3.84195291893893343e-01
0.50 11 0.00000000000000000e+00 0.00000000000000000e+00 2.93894902374574629e+00 4.60135487132800733e+01
0.50 12 0.00000000000000000e+00 0.00000000000000000e+00 1.31933317531177374e-02 5.64413448222554556e-02
0.50 13 0.00000000000000000e+00 0.00000000000000000e+00 6.42113525758274406e-02 3.87272015159182470e-01
0.50 14 0.00000000000000000e+00 0.00000000000000000e+00 2.57520498121252217e+00 4.50418235067114026e+01
0.50 15 0.00000000000000000e+00 0.00000000000000000e+00 1.20228557636830324e-02 5.72466507685250175e-02
0.50 16 0.00000000000000000e+00 0.00000000000000000e+00 5.83377676163476799e-02 3.89294417116132219e-01
0.50 17 0.00000000000000000e+00 0.00000000000000000e+00 2.31874219051055075e+00 4.44060230739421584e+01
0.50 18 0.00000000000000000e+00 0.00000000000000000e+00 1.11127486550562371e-02 5.77897398669257600e-02
0.50 19 0.00000000000000000e+00 0.00000000000000000e+00 5.38290291713248714e-02 3.90724535131706407e-01
0.50 20 0.00000000000000000e+00 0.00000000000000000e+00 2.12572914029638760e+00 4.39578226850645137e+01
0.50 21 0.00000000000000000e+00 0.00000000000000000e+00 1.03802141346700239e-02 5.81805374063918967e-02
0.50 22 0.00000000000000000e+00 0.00000000000000000e+00 5.02268608851562381e-02 3.91789083794068016e-01
0.50 23 0.00000000000000000e+00 0.00000000000000000e+00 1.97380786206314873e+00 4.36249436672142608e+01
0.50 24 0.00000000000000000e+00 0.00000000000000000e+00 9.77467159467243496e-03 5.84751375100999934e-02
0.50 25 0.00000000000000000e+00 0.00000000000000000e+00 4.72631006082450122e-02 3.92612245486531286e-01
0.50 26 0.00000000000000000e+00 0.00000000000000000e+00 1.85025785317523517e+00 4.33679854034212369e+01
0.50 27 0.00000000000000000e+00 0.00000000000000000e+00 9.26347080297296177e-03 5.87051276170756364e-02
